,2m Air Temperature,Relative Humidity,GHI,DNI,DHI,IR(h),10m Wind speed,10m wind direction,Air pressure,Month,Day,Declination,Hour angle,Rb_front,Rb_rear,DOY,Solar Zenith angle,G_Front,Total_G
2030-05-02 01:00:00,11.79,76.5,0.0,0.0,0.0,274.4,2.21,353.0,100313.0,5.0,2.0,15.210363206270316,-165.0,0.0,1.0,122,124.21825538731963,,
2030-05-02 01:15:00,11.576080715148635,77.75646767978836,0.003094183396093979,0.022899181926390483,0.00352885436376326,274.2122837416257,2.1486832756042022,351.4417318153238,100297.35881224612,5.0,2.0,15.210363206270316,-155.40259582899625,0.0,1.0,122,121.31305695594995,,
2030-05-02 01:30:00,11.337825811378748,79.14512627116122,0.008110201539178095,0.05898400294766501,0.008868002610851767,273.9881923999793,2.0854070494021695,348.5700594859628,100274.06896569641,5.0,2.0,15.210363206270316,-152.2012947258853,0.0,1.0,122,120.07675423099111,,
2030-05-02 01:45:00,11.095658001919487,80.49872172695345,0.009071118912673162,0.06557682249510703,0.00977314955251439,273.77000485834316,2.0319272984990513,348.1633574136204,100250.49463629849,5.0,2.0,15.210363206270316,-151.6493462598317,0.0,1.0,122,119.85119125476956,,
2030-05-02 02:00:00,10.87,81.65,0.0,0.0,0.0,273.6,2.0,354.0,100234.0,5.0,2.0,15.210363206270316,-150.0,0.0,1.0,122,119.15622234492882,,
2030-05-02 02:15:00,10.660851805620288,82.5989610903009,0.0,0.0,0.0,273.4781778249498,1.9896251539050147,366.0799872451018,100224.58505680095,5.0,2.0,15.210363206270316,-147.25325594639023,0.0,1.0,122,117.93169355911125,,
2030-05-02 02:30:00,10.468213418780351,83.34560499785611,0.0,0.0,0.0,273.4045383331924,2.0008027602140954,384.4033191489256,100222.24980670131,5.0,2.0,15.210363206270316,-143.40911409900238,0.0,1.0,122,116.08557397655306,,
2030-05-02 02:45:00,10.286468322550238,83.96944640648327,0.0,0.0,0.0,273.3786296748388,2.011578986416129,387.52499147828667,100223.28965325102,5.0,2.0,15.210363206270316,-139.11041520211333,0.0,1.0,122,113.85356941879839,,
2030-05-02 03:00:00,10.11,84.55,0.0,0.0,0.0,273.4,2.0,354.0,100224.0,5.0,2.0,15.210363206270316,-135.0,0.0,1.0,122,111.57009939753944,,
2030-05-02 03:15:00,9.938808451129633,85.0872657784063,0.1115247477969544,0.8035796052995461,0.11917982191638513,273.4686493086757,1.9660658009657102,283.8283447140657,100224.38084694828,5.0,2.0,15.210363206270316,-131.0778684926624,0.0,1.0,122,109.26923802931809,,
2030-05-02 03:30:00,9.772893675939141,85.58124374170217,0.2813198785639281,2.0269914237595024,0.3006191289145071,273.58457760086617,1.9097763893132584,177.01002562048365,100224.43219409586,5.0,2.0,15.210363206270316,-127.34402068010047,0.0,1.0,122,106.97942910111615,,
